estado,confirmado,muerto,recuperado,activo,sospechoso,negativo_real,negativo_alcanzado,latitud,longitud
AGUASCALIENTES,77,2,0,75,82,0,842,21.8823395,-102.28259279999999
BAJA CALIFORNIA,610,68,0,542,841,0,869,30.8406338,-115.28375849999999
BAJA CALIFORNIA SUR,173,6,0,167,313,0,523,26.044444600000002,-111.66607250000001
CAMPECHE,56,3,0,53,28,0,134,19.843860600000003,-90.5255432
COAHUILA DE ZARAGOZA,232,18,0,214,970,0,1245,27.058676000000002,-101.70682940000002
COLIMA,10,2,0,8,21,0,106,19.2452342,-103.7240868
CHIAPAS,62,3,0,59,50,0,292,16.7569318,-93.1292353
CHIHUAHUA,131,31,0,100,220,0,315,28.635280600000005,-106.08889009999999
CIUDAD DE MÉXICO,2299,178,0,2121,2369,0,6127,19.4284706,-99.1276627
DURANGO,19,4,0,15,98,0,291,24.5592665,-104.6587821
GUANAJUATO,116,9,0,107,343,0,1753,21.019014499999997,-101.25735859999999
GUERRERO,110,11,0,99,123,0,343,17.439192600000002,-99.5450974
HIDALGO,75,13,0,62,45,0,401,20.0910963,-98.76238740000001
JALISCO,196,13,0,183,547,0,2666,20.6595382,-103.34943759999999
MÉXICO,786,52,0,734,1289,0,2020,19.4968732,-99.72326729999999
MICHOACÁN DE OCAMPO,107,16,0,91,249,0,645,19.5665192,-101.70682940000002
MORELOS,77,11,0,66,60,0,333,18.6813049,-99.10134980000001
NAYARIT,33,5,0,28,35,0,186,21.7513844,-104.8454619
NUEVO LEÓN,172,6,0,166,2184,0,2200,25.592172,-99.9961947
OAXACA,62,6,0,56,61,0,367,17.0731842,-96.72658890000001
PUEBLA,330,40,0,290,344,0,885,19.041439800000003,-98.20627270000001
QUERÉTARO,79,6,0,73,81,0,462,20.588818399999997,-100.3898876
QUINTANA ROO,315,31,0,284,188,0,450,19.1817393,-88.47913759999999
SAN LUIS POTOSÍ,59,4,0,55,102,0,949,22.149820300000002,-100.97915649999999
SINALOA,413,45,0,368,285,0,818,25.1721091,-107.4795173
SONORA,108,10,0,98,141,0,540,29.297224699999997,-110.3308814
TABASCO,278,28,0,250,361,0,533,17.8409173,-92.6189273
TAMAULIPAS,117,5,0,112,225,0,711,24.266939999999998,-98.8362755
TLAXCALA,72,4,0,68,86,0,429,19.318154,-98.2374954
VERACRUZ DE IGNACIO DE LA LLAVE,124,8,0,116,476,0,920,19.180950199999998,-96.1428986
YUCATÁN,172,10,0,162,105,0,641,20.709878600000003,-89.0943377
ZACATECAS,27,2,0,25,47,0,305,22.7684307,-102.5814133
