id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
1,AGUASCALIENTES,1,AGUASCALIENTES,66.0,2.0,0,64.0,66.0,654.0,21.811535600000003,-102.2957713
1,AGUASCALIENTES,2,ASIENTOS,1.0,0.0,0,1.0,2.0,7.0,22.12657642,-102.0456604
1,AGUASCALIENTES,3,CALVILLO,0.0,0.0,0,0.0,1.0,28.0,21.90078846,-102.7049005
1,AGUASCALIENTES,4,COSÍO,0.0,0.0,0,0.0,0.0,7.0,22.36064174,-102.2970435
1,AGUASCALIENTES,5,JESÚS MARÍA,1.0,0.0,0,1.0,7.0,52.0,21.93215516,-102.44562579999999
1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,5.0,0.0,0,5.0,0.0,23.0,22.10455438,-102.3016703
1,AGUASCALIENTES,7,RINCÓN DE ROMOS,2.0,0.0,0,2.0,5.0,24.0,22.26744552,-102.3407297
1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,0.0,0.0,0,0.0,0.0,4.0,22.14670973,-102.5258434
1,AGUASCALIENTES,9,TEPEZALÁ,1.0,0.0,0,1.0,0.0,8.0,22.2370008,-102.1921297
1,AGUASCALIENTES,10,EL LLANO,1.0,0.0,0,1.0,1.0,4.0,21.92155597,-102.0353867
1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,0.0,0.0,0,0.0,0.0,17.0,22.03308468,-102.2290181
2,BAJA CALIFORNIA,1,AGUASCALIENTES,11.0,2.0,0,9.0,29.0,136.0,30.05792961,-114.9692882
2,BAJA CALIFORNIA,2,ASIENTOS,230.0,19.0,0,211.0,284.0,296.0,31.74891833,-115.16758359999999
2,BAJA CALIFORNIA,3,CALVILLO,12.0,2.0,0,10.0,31.0,26.0,32.44105338,-116.2689487
2,BAJA CALIFORNIA,4,COSÍO,343.0,41.0,0,302.0,467.0,369.0,32.4042082,-116.81990970000001
2,BAJA CALIFORNIA,5,JESÚS MARÍA,9.0,3.0,0,6.0,12.0,26.0,32.25304223,-116.8908048
3,BAJA CALIFORNIA SUR,1,AGUASCALIENTES,1.0,0.0,0,1.0,13.0,20.0,25.49568587,-111.82100790000001
3,BAJA CALIFORNIA SUR,2,ASIENTOS,1.0,0.0,0,1.0,4.0,25.0,27.28821511,-113.23220690000001
3,BAJA CALIFORNIA SUR,3,CALVILLO,50.0,4.0,0,46.0,145.0,219.0,24.19271155,-110.66456770000002
3,BAJA CALIFORNIA SUR,8,SAN JOSÉ DE GRACIA,120.0,2.0,0,118.0,151.0,247.0,23.27702756,-109.7531808
3,BAJA CALIFORNIA SUR,9,TEPEZALÁ,0.0,0.0,0,0.0,0.0,12.0,25.95456403,-111.44885570000001
4,CAMPECHE,1,AGUASCALIENTES,2.0,0.0,0,2.0,0.0,3.0,20.38455655,-90.21811966
4,CAMPECHE,2,ASIENTOS,9.0,0.0,0,9.0,9.0,45.0,19.61728246,-90.26773595
4,CAMPECHE,3,CALVILLO,22.0,1.0,0,21.0,11.0,70.0,18.52450679,-91.48310859
4,CAMPECHE,4,COSÍO,0.0,0.0,0,0.0,0.0,3.0,19.13464794,-90.4992747
4,CAMPECHE,5,JESÚS MARÍA,0.0,0.0,0,0.0,0.0,1.0,20.12449936,-90.13546323
