,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(1, 1)",86,713,94,2,0,84,AGUASCALIENTES,AGUASCALIENTES,1,1,V,V,1,AGUASCALIENTES,1,AGUASCALIENTES,86,2,0,84,94,713,21.8115356,-102.2957713
"(1, 2)",1,7,2,0,0,1,AGUASCALIENTES,ASIENTOS,1,2,V,V,1,AGUASCALIENTES,2,ASIENTOS,1,0,0,1,2,7,22.12657642,-102.0456604
"(1, 3)",0,28,1,0,0,0,AGUASCALIENTES,CALVILLO,1,3,V,V,1,AGUASCALIENTES,3,CALVILLO,0,0,0,0,1,28,21.90078846,-102.7049005
"(1, 4)",0,7,0,0,0,0,AGUASCALIENTES,COSÍO,1,4,V,V,1,AGUASCALIENTES,4,COSÍO,0,0,0,0,0,7,22.36064174,-102.2970435
"(1, 5)",3,58,6,0,0,3,AGUASCALIENTES,JESÚS MARÍA,1,5,V,V,1,AGUASCALIENTES,5,JESÚS MARÍA,3,0,0,3,6,58,21.93215516,-102.4456258
"(1, 6)",5,23,3,0,0,5,AGUASCALIENTES,PABELLÓN DE ARTEAGA,1,6,V,V,1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,5,0,0,5,3,23,22.10455438,-102.3016703
"(1, 7)",3,26,5,0,0,3,AGUASCALIENTES,RINCÓN DE ROMOS,1,7,V,V,1,AGUASCALIENTES,7,RINCÓN DE ROMOS,3,0,0,3,5,26,22.26744552,-102.3407297
"(1, 8)",0,4,2,0,0,0,AGUASCALIENTES,SAN JOSÉ DE GRACIA,1,8,V,V,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,0,0,0,0,2,4,22.14670973,-102.5258434
"(1, 9)",1,9,0,0,0,1,AGUASCALIENTES,TEPEZALÁ,1,9,V,V,1,AGUASCALIENTES,9,TEPEZALÁ,1,0,0,1,0,9,22.2370008,-102.1921297
"(1, 10)",1,5,0,0,0,1,AGUASCALIENTES,EL LLANO,1,10,V,V,1,AGUASCALIENTES,10,EL LLANO,1,0,0,1,0,5,21.92155597,-102.0353867
